Year,GDP per capita in U.S. dollars
2024*,34380.38
2023*,33808.21
2022*,33213.79
2021*,32647.4
2020*,32100.4
2019*,31538.17
2018,31603.41
2017,31590.97
2016,30585.55
2015,29755.35
2014,28981.34
2013,28513.15
2012,27944.74
2011,27278.85
2010,26435.74
2009,25768.73
2008,24898.34
2007,23664.87
2006,22935.95
2005,21959.32
2004,20988.99
2003,19820.21
2002,18972.77
2001,18243.71
2000,16192.13
1999,15293.18
1998,14430.16
1997,12968.39
1996,12305.02
1995,11667.59
1994,10942.95
1993,10255.53
1992,9687.44
1991,9093.48
1990,8675.58
1989,8094.29
1988,7579.34
1987,6987.4
1986,6495.5
1985,6058.64
1984,5777.44
