Quarter,Imports in billion U.S. dollars
Q3 '19,783.15
Q2 '19,786.06
Q1 '19,783.44
Q4 '18,794.91
Q3 '18,789.66
Q2 '18,773.19
Q1 '18,771.23
Q4 '17,753.89
Q3 '17,719.9
Q2 '17,717.72
Q1 '17,711.16
Q4 '16,695.8
Q3 '16,684.81
Q2 '16,673.18
Q1 '16,665.04
Q4 '15,676.61
Q3 '15,692.85
Q2 '15,696.93
Q1 '15,698.83
Q4 '14,719.23
Q3 '14,718.53
Q2 '14,721.36
Q1 '14,707.12
Q4 '13,692.16
Q3 '13,689.29
Q2 '13,687.02
Q1 '13,686.87
Q4 '12,686.1
Q3 '12,683.79
Q2 '12,692.07
Q1 '12,693.8
Q4 '11,683.25
Q3 '11,676.94
Q2 '11,669.4
Q1 '11,646.06
Q4 '10,613.13
Q3 '10,597.72
Q2 '10,581.13
Q1 '10,556.29
