Month,Units sold
Dec '19,178
Nov '19,222
Oct '19,374
Sep '19,491
Aug '19,271
Jul '19,491
Jun '19,464
May '19,500
Apr '19,442
Mar '19,737
Feb '19,172
Jan '19,228
Dec ´18,167
Nov ´18,196
Oct ´18,297
Sep ´18,409
Aug ´18,328
Jul ´18,466
Jun ´18,612
May ´18,667
Apr '18,555
Mar '18,821
Feb '18,168
Jan '18,244
Nov ´17,260
Oct ´17,356
Sep ´17,450
Aug ´17,254
Jul ´17,469
Jun ´17,556
May ´17,494
Apr ´17,479
Mar ´17,798
Feb ´17,119
Jan ´17,237
Dec ´16,396
Nov ´16,293
Oct `16,414
Sep ´16,496
Aug ´16,329
Jul ´16,463
Jun ´16,553
May ´16,536
Apr ´16,616
Mar ´16,891
Feb ´16,140
Jan ´16,236
