Month,Units sold
Dec 19,4726
Nov 19,6244
Oct 19,7341
Sep 19,17858
Aug 19,4205
Jul 19,8134
Jun 19,11398
May 19,7238
Apr 19,6067
Mar 19,20874
Feb 19,2532
Jan 19,8575
Dec 18,2936
Nov 18,6156
Oct 18,7088
Sep 18,19091
Aug 18,3620
Jul 18,6632
Jun 18,9697
May 18,6774
Apr 18,6713
Mar 18,22537
Feb 18,2703
Jan 18,7975
Dec 17,5188
Nov 17,5953
Oct 17,6042
Sep 17,19222
Aug 17,2742
Jul 17,6410
Jun 17,9556
May 17,6720
Apr 17,5113
Mar 17,24508
Feb 17,3095
Jan 17,7436
Dec 16,4642
Nov 16,5854
Oct 16,5332
Sep 16,18888
Aug 16,2193
Jul 16,5333
Jun 16,9928
May 16,7144
Apr 16,6644
Mar 16,21481
Feb 16,2478
Jan 16,6829
Dec 15,4769
Nov 15,6172
Oct 15,6164
Sep 15,19095
Aug 15,2313
Jul 15,6251
Jun 15,9801
May 15,7300
Apr 15,6634
Mar 15,20541
Feb 15,2958
Jan 15,6711
Dec 14,5687
Nov 14,6037
Oct 14,6233
Sep 14,17232
Aug 14,1968
Jul 14,5791
Jun 14,8850
May 14,7644
Apr 14,6838
Mar 14,19148
Feb 14,2411
Jan 14,6173
