Year,GDP per capita in U.S. dollars
2024*,50637.0
2023*,48460.64
2022*,46453.57
2021*,44637.43
2020*,43043.42
2019*,40846.78
2018*,39303.96
2017,38342.74
2016,38804.86
2015,34568.93
2014,38156.33
2013,40490.16
2012,48632.9
2011,48168.8
2010,44673.61
2009,41014.19
2008,39453.49
2007,35342.48
2006,35463.87
2005,37223.77
2004,37696.72
2003,34831.2
2002,32300.67
2001,33850.88
2000,38535.59
1999,36039.08
1998,31915.74
1997,35034.54
1996,38450.96
1995,43441.33
1994,39219.81
1993,35698.91
1992,31429.62
1991,28923.31
1990,25379.6
1989,24830.99
1988,25065.13
1987,20755.51
1986,17118.39
1985,11580.2
1984,10981.92
