Year,Inflation rate compared to previous year
2024*,5%
2023*,4.85%
2022*,4.66%
2021*,4.48%
2020*,4.19%
2019*,3.57%
2018,3.51%
2017,5.32%
2016,5.17%
2015,5.59%
2014,6.13%
2013,7.87%
2012,16%
2011,12.69%
2010,7.19%
2009,12.14%
2008,10.28%
2007,7.03%
2006,7.25%
2005,4.36%
2004,4.14%
2003,4.43%
2002,4.56%
2001,5.15%
2000,5.96%
1999,7.89%
1998,12.78%
1997,16.14%
1996,21.05%
1995,26.77%
1994,37.9%
1993,26.1%
1992,20.7%
1991,25.2%
1990,36.4%
1989,25.8%
1988,31.2%
1987,29.9%
1986,32.4%
1985,33.3%
1984,36.1%
