Year,Estimated population in millions
1971,55.93
1972,56.1
1973,56.22
1974,56.24
1975,56.23
1976,56.22
1977,56.19
1978,56.18
1979,56.24
1980,56.33
1981,56.36
1982,56.29
1983,56.32
1984,56.41
1985,56.55
1986,56.68
1987,56.8
1988,56.92
1989,57.08
1990,57.24
1991,57.44
1992,57.58
1993,57.71
1994,57.86
1995,58.02
1996,58.16
1997,58.31
1998,58.47
1999,58.68
2000,58.89
2001,59.11
2002,59.37
2003,59.64
2004,59.95
2005,60.41
2006,60.83
2007,61.32
2008,61.82
2009,62.26
2010,62.76
2011,63.29
2012,63.71
2013,64.11
2014,64.6
2015,65.11
2016,65.65
2017,66.04
2018,66.44
