Month,Units sold
Dec '19,515
Nov '19,398
Oct '19,431
Sep '19,1490
Aug '19,302
Jul '19,675
Jun '19,1154
May '19,773
Apr '19,811
Mar '19,2176
Feb '19,183
Jan '19,403
Dec '18,439
Nov '18,384
Oct '18,535
Sep '18,1199
Aug '18,363
Jul '18,627
Jun '18,1358
May '18,924
Apr '18,674
Mar '18,1938
Feb '18,233
Jan '18,339
Dec '17,323
Nov '17,343
Oct '17,522
Sep '17,1305
Aug '17,370
Jul '17,682
Jun '17,1297
May '17,907
Apr '17,902
Mar '17,2101
Feb '17,272
Jan '17,263
Dec '16,400
Nov '16,322
Oct '16,337
Sep '16,1510
Aug '16,226
Jul '16,596
Jun ´16,1148
May '16,856
Apr '16,807
Mar '16,1688
Feb '16,215
Jan '16,320
