European Football Teams,Appearances by club
Sporting Clube de Portugal,33
Club Brugge,30
FK Crvena zvezda,28
FK Partizan,28
FC Inter Milan,27
Feyenoord,27
PAOK FC,27
AFC Ajax,26
FC Spartak Moscow,26
PFC Levski Sofia,26
HNK Hajduk Split,26
AEK Athens FC,25
Rapid Vienna,25
GNK Dinamo Zagreb,24
Grasshopper Club,24
Fenerbahce SK,24
PSV Eindhoven,24
SK Slavia Praha,23
FC Dinamo 1948,23
Brondby IF,23
Legia Warszawa SA,23
FC Dinamo Tbilisi,23
PFC CSKA Sofia,22
FC Girondins de Bordeaux,22
Panathinaikos FC,22
Olympiacos FC,22
R. Standard de Liège,22
Aberdeen FC,22
Celtic FC,22
RSC Anderlecht,21
