Year,GDP per capita in U.S. dollars
2024*,8096.64
2023*,7729.02
2022*,7381.73
2021*,7053.53
2020*,6744.01
2019*,6508.13
2018,6641.51
2017,6325.49
2016,5799.62
2015,6088.68
2014,7998.84
2013,8103.49
2012,7950.38
2011,7264.11
2010,6285.2
2009,5170.53
2008,5444.82
2007,4684.01
2006,3717.55
2005,3384.61
2004,2737.58
2003,2240.21
2002,2347.51
2001,2383.31
2000,2455.11
1999,2588.92
1998,2992.93
1997,3291.58
1996,3037.63
1995,2939.1
1994,2640.39
1993,2139.18
1992,1923.58
1991,1658.07
1990,1637.5
1989,1640.39
1988,1660.55
1987,1572.58
1986,1542.36
1985,1572.19
1984,1711.86
