Games,Number of units in thousands
Playerunknown’s Battlegrounds,27795
Counter-Strike: Global Offensive,12537
Grand Theft Auto V,3462
Tom Clancy's Rainbow Six Siege,2958
The Witcher 3: Wild Hunt,1895
Rocket League,1818
ARK: Survival Evolved,1529
Cuphead,1336
Sid Meier's Civilization VI,1134
Dark Souls III,1023
Divinity: Original Sin 2,1004
Call of Duty: WWII,840
Tom Clancy's Ghost Recon Wildlands,820
Middle-Earth: Shadow of War,697
NieR: Automata,668
Total War: WARHAMMER II,643
Assasin's Creed Origins,607
Football Manager 2018,590
For Honor,587
Resident Evil 7,545
