Month,Annual salary (in euros)
Fabio Capello (England),8800000
Marcello Lippi (Italy),3000000
Joachim Löw (Germany),2500000
Bert van Marwijk (Netherlands),1800000
Ottmar Hitzfeld (Switzerland),1750000
Vicente del Bosque (Spain),1500000
Carlos Queiroz (Portugal),1350000
Pim Verbeek (Australia),1200000
Carlos Parreira (South Africa),1200000
Javier Aguirre (Mexico),1200000
Carlos Dunga (Brazil),800000
Diego Maradona (Argentina),800000
Takeshi Okada (Japan),800000
Ricki Herbert (New Zealand),800000
Otto Rehhagel (Greece),750000
Paul Le Guen (Cameroon),650000
Marcelo Bielsa (Chile),575000
Raymond Domenech (France),560000
Vahdi Halilhodzic (Ivory Coast),505000
Moo Jung Hun (South Korea),405000
Morten Olsen (Denmark),390000
Milovan Rajevac (Ghana),365000
Radomir Antic (Serbia),305000
Bob Bradley (USA),275000
Majtaz Kek (Slovenia),245000
Gerardo Martino (Paraguay),245000
Rabah Saadane (Algeria),245000
Reinaldo Rueda (Honduras),240000
Vladimir Weiss (Slovakia),215000
Oscar Tabarez (Uruquay),205000
Kim Jong Hun (North Korea),170000
Shaibu Amodu (Nigeria),125000
