Month,Payroll in thousand U.S. dollars
Diego Valeri,2420.0
Sebastian Blanco,1375.01
Brian Fernandez,1275.8
Larrys Mabiala,793.33
Lucas Melano,700.0
Jorge Villafana,617.5
Jorge Moreira Ferreira,607.96
Claude Dielna,600.0
Diego Chara,572.0
Tomas Conechny,403.5
Cristhian Paredes,283.5
Jeremy Ebobisse,238.0
Dairon Asprilla,213.75
Jeff Attinella,187.25
Julio Cascante,170.0
Aljaz Ivacic,160.0
Zarek Valentin,160.0
Andy Polo,150.0
Steve Clark,140.0
Eryk Williamson,136.5
Bill Tuiloma,107.51
Marco Farfan,80.25
Andrea Flores,70.25
Kendall McIntosh,70.25
Modou Jadama,70.25
Renzo Zambrano,70.25
Foster Langsdorf,57.23
Marvin Loria,56.25
