Month,Number of goals
Miroslav Klose,71
Gerd Müller,68
Joachim Streich,59
Lukas Podolski,49
Jürgen Klinsmann,47
Rudi Völler,47
Karl-Heinz Rummenigge,45
Uwe Seeler,43
Michael Ballack,42
Thomas Müller,38
Oliver Bierhoff,37
Ulf Kirsten,34
Fritz Walter,33
Klaus Fischer,32
Mario Gomez,31
Ernst Lehner,31
Andreas Möller,29
Edmund Conen,27
Eberhard Vogel,27
Hans-Jürgen Kreische,27
Bastian Schweinsteiger,24
Richard Hofmann,24
Mesut Özil,23
Lothar Matthäus,23
André Schürrle,22
Helmut Rahn,21
Max Morlock,21
Rainer Ernst,20
Karl Hohmann,20
Kevin Kurányi,19
Jürgen Sparwasser,19
Henning Frenzel,19
Pierre Littbarski,18
Andreas Thom,18
Toni Kroos,17
Wolfgang Overath,17
Klaus Allofs,17
Otto Siffling,17
Helmut Schön,17
Martin Hoffmann,17
Mario Götze,17
Karl-Heinz Riedle,16
Willi Hahnemann,16
Peter Ducke,16
Jürgen Nöldner,16
Hans Schäfer,15
Franz Beckenbauer,14
Matthias Sammer,14
Jupp Heynckes,14
Tull Harder,14
