Theme Park,Attendance in millions
"Tokyo Disneyland, Japan",17.91
"Tokyo Disney Sea, Japan",14.65
"Universal Studios, Japan",14.3
"Shanghai Disneyland, China",11.8
Chimelong Ocean Kingdom,10.83
"Hong Kong Disneyland, Hong Kong S.A.R",6.7
"Lotte World, South Korea",5.96
"Nagashima Spa Land, Japan",5.92
"Everland, South Korea",5.85
"Ocean Park, Hong Kong S.A.R.",5.8
"Chimelong Paradise, China",4.68
Universal Studios Singapore,4.4
Changzhou China Dinosaurs Park,4.11
"OCT Window of the World, Shenzen",3.99
"OCT Happy Valley Beijing, China",3.98
"OCT Happy Valley Shenzhen, China",3.91
"Zhengzhou Fantawild Adventure, China",3.8
"Ningbo Fantawild Oriental Heritage, China",3.74
"OCT East, China",3.68
"OCT Happy Valley Chengdu, China",3.1
