Year,Gross domestic product in billion U.S. dollars
2024*,178.17
2023*,188.43
2022*,185.73
2021*,181.57
2020*,178.64
2019*,172.78
2018,173.76
2017,167.39
2016,160.03
2015,165.98
2014,213.81
2013,209.76
2012,209.02
2011,200.25
2010,161.21
2009,137.05
2008,171.0
2007,134.98
2006,117.03
2005,103.2
2004,85.33
2003,67.86
2002,56.76
2001,54.75
2000,54.75
1999,48.85
1998,48.19
1997,48.18
1996,46.94
1995,42.07
1994,42.43
1993,50.96
1992,49.22
1991,46.67
1990,61.89
1989,52.56
1988,51.66
1987,63.3
1986,61.54
1985,61.13
1984,51.51
