Month,Units sold
Dec 19,9623
Nov 19,10397
Oct 19,11319
Sep 19,30398
Aug 19,5040
Jul 19,12056
Jun 19,14947
May 19,14431
Apr 19,11739
Mar 19,33536
Feb 19,6088
Jan 19,12249
Dec 18,11365
Nov 18,11391
Oct 18,11716
Sep 18,30161
Aug 18,4868
Jul 18,11395
Jun 18,14928
May 18,13387
Apr 18,11854
Mar 18,33194
Feb 18,6088
Jan 18,11891
Dec 17,10427
Nov 17,12065
Oct 17,12136
Sep 17,31430
Aug 17,4738
Jul 17,11617
Jun 17,15715
May 17,14660
Apr 17,13345
Mar 17,35690
Feb 17,6099
Jan 17,13048
Dec 16,10220
Nov 16,11382
Oct 16,11334
Sep 16,31988
Aug 16,4651
Jul 16,11650
