Quarter,Revenue in million U.S. dollars
Q4 '19,45812
Q3 '19,40344
Q2 '19,38782
Q1 '19,36169
Q4 '18,38998
Q3 '18,33594
Q2 '18,32512
Q1 '18,30996
Q4 '17,32192
Q3 '17,27470
Q2 '17,25913
Q1 '17,24618
Q4 '16,25802
Q3 '16,22254
Q2 '16,21315
Q1 '16,20092
Q4 '15,21179
Q3 '15,18534
Q2 '15,17653
Q1 '15,17178
Q4 '14,17997
Q3 '14,16523
Q2 '14,15955
Q1 '14,15420
Q4 '13,15707
Q3 '13,13754
Q2 '13,13107
Q1 '13,12951
Q4 '12,12905
Q3 '12,11526
Q2 '12,10964
Q1 '12,10645
Q4 '11,10584
Q3 '11,9720
Q2 '11,9026
Q1 '11,8575
Q4 '10,8440
Q3 '10,7286
Q2 '10,6820
Q1 '10,6775
Q4 '09,6674
Q3 '09,5945
Q2 '09,5523
Q1 '09,5509
Q4 '08,5701
Q3 '08,5541
Q2 '08,5637
Q1 '08,5186
