Institutition Name,Total cost in U.S. dollars
Harvey Mudd College,75003
University of Chicago,74580
Columbia University,74001
Barnard College,72257
Scripps College,71956
Columbia University: School of General Studies,71739
Trinity College,71660
University of Southern California,71620
Oberlin College,71392
Southern Methodist University,71338
Sarah Lawrence College,71270
Dartmouth College,71209
University of Pennsylvania,71200
Northwestern University,71193
Amherst College,71166
Claremont McKenna College,71110
Haverford College,70994
Tufts University,70942
School of the Museum of Fine Arts,70942
Pitzer College,70900
Duke University,70873
Brandeis University,70835
Franklin & Marshall University,70800
Fordham University,70656
Bard College at Simon's Rock,70648
Georgetown University,70613
Reed College,70550
Vassar College,70510
Eastman School of Music of the University of Rochester,70446
Brown University,70326
