Industry,Share of GDP
Real estate and rental and leasing,17.38%
Construction,8.56%
Manufacturing,7.14%
Health care and social assistance,7.05%
Transportation and warehousing,6.57%
"Professional, scientific and technical services",6.32%
Retail trade,5.95%
Finance and insurance,5.87%
Public administration,5.52%
Educational services,5.2%
Wholesale trade,4.05%
"Mining, quarrying, and oil and gas extraction",3.29%
Accommodation and food services,3.22%
Information and cultural industries,2.91%
Utilities,2.49%
"Administrative and support, waste management and remediation services",2.4%
"Agriculture, forestry, fishing and hunting",2.36%
Other services (except public administration),2.26%
"Arts, entertainment and recreation",0.93%
Management of companies and enterprises,0.53%
