Year,Inflation rate compared to previous year
2024*,7.05%
2023*,6.95%
2022*,6.46%
2021*,4.85%
2020*,4.04%
2019*,2.76%
2018,4.83%
2017,6.22%
2016,7.85%
2015,4.95%
2014,5.68%
2013,5.62%
2012,8.94%
2011,6.11%
2010,4.51%
2009,7.45%
2008,12.66%
2007,8.08%
2006,5.2%
2005,4.9%
2004,3.45%
2003,7.29%
2002,12.02%
2001,5.94%
2000,12.21%
1999,6.09%
1998,8.11%
1997,7.13%
1996,6.43%
1995,12.29%
1994,13.77%
1993,12.02%
1992,7.56%
1991,8.93%
1990,13.09%
1989,7.55%
1988,20.4%
1987,13.38%
1986,13.74%
1985,20.46%
1984,12.94%
