Response,Share of respondents
"Cooking (e.g., MasterChef, Chopped, etc.)",35%
"Competition / elimination (e.g., Dancing with the Stars, America's Got Talent, etc.)",27%
"Documentaries / docu-series (e.g., The Real World, Keeping up with the Kardashians, The Hills, etc.)",22%
"Supernatural (e.g., Ghost Hunters, Paranormal State, etc.)",18%
"Hidden camera / amateur content (e.g., Impractical Jokers, America's Funniest Home Videos, etc.)",17%
"Makeover / renovation (e.g., Extreme Makeover, What Not to Wear, etc.)",17%
"Travel / aspirational (e.g., Lifestyles of the Rich and Famous, MTV Cribs, etc.)",13%
"Dating (e.g., The Bachelor / Bachelorette, etc.)",9%
Other,17%
Don't know,2%
Not applicable - I do not typically watch reality TV,27%
