Company,Number of granted U.S. patents
International Business Machines Corp,9262
Samsung Electronics Co Ltd,6469
Canon KK,3548
Microsoft Technology Licensing LLC,3081
Intel Corp,3020
LG Electronics Inc,2805
Apple Inc,2490
Ford Global Technologies LLC,2468
Amazon Technologies Inc,2427
Huawei Technologies Co Ltd,2418
Qualcomm Inc,2348
Taiwan Semiconductor Manufacturing Co (TSMC) Ltd,2331
BOE Technology Group Co Ltd,2177
Sony Corp,2142
Google Inc,2102
Toyota Motor Corp,2034
Samsung Display Co Ltd,1946
General Electric Co,1818
Telefonaktiebolaget L M Ericsson,1607
Hyundai Motor Co,1504
Panasonic Intellectual Property Management Co Ltd,1387
Boeing Co,1383
Seiko Epson Corp,1345
GM Global Technology Operations LLC,1285
Micron Technology Inc,1268
United Technologies Corp,1252
Mitsubishi Electric Corp,1244
Toshiba Corp,1170
AT&T Intellectual Property I LP,1158
Robert Bosch GmbH,1107
Honda Motor Co Ltd,1080
Denso Corp,1052
Cisco Technology Inc,1050
Halliburton Energy Services Inc,1020
Fujitsu Ltd,1008
Facebook Inc,989
Ricoh Co Ltd,980
Koninklijke Philips NV,973
EMC IP Holding Co LLC,926
NEC Corp,923
Kia Motors Corp,921
Texas Instruments Inc,894
LG Display Co Ltd,865
Oracle International Corp,847
Murata Manufacturing Co Ltd,842
Sharp Corp,819
SK Hynix Inc,798
Hewlett Packard Enterprise Development LP,794
FUJIFILM Corp,791
LG Chem Ltd,791
