Player,Payroll in thousand U.S. dollars
Fredy Montero,968.0
Jon Erice Dominguez,752.36
Yordy Reyna,713.14
Hwang In-Beom,655.0
Lucas Venuto,600.0
Ali Adnan,547.33
Felipe Martins,500.0
Erik Godoy,449.32
Anthony Blondell,307.7
Joaquin Ardaiz,272.73
Doneil Henry,204.24
Andy Rose,192.5
Russell Teibert,190.0
Zac MacMath,190.0
Jasser Khmiri,180.0
Scott Sutter,170.18
Jake Nerwinski,124.13
"Victor ""PC"" Giro",112.44
Derek Cornelius,111.91
Alhassane Bangoura,100.0
Maxime Crepeau,94.08
Michael Baldisimo,83.01
Simon Colyn,81.25
Thelonius Bair,76.25
Brett Levis,74.16
Sean Melvin,70.25
Thomas Hasal,66.25
David Norman,58.23
Brendan McDonough,56.25
