Year,GDP per capita in U.S. dollars
2024*,62696.24
2023*,60250.66
2022*,58102.28
2021*,55998.95
2020*,53873.37
2019*,52367.85
2018,53228.27
2017,48799.87
2016,46165.18
2015,45302.8
2014,53026.48
2013,52201.72
2012,50100.62
2011,54209.22
2010,51046.25
2009,52648.42
2008,57916.25
2007,51804.2
2006,44901.09
2005,42046.72
2004,40404.22
2003,35734.22
2002,29294.21
2001,26891.92
2000,26220.07
1999,28299.67
1998,27924.51
1997,26733.01
1996,29016.44
1995,29284.58
1994,24824.41
1993,23237.63
1992,24061.89
1991,21931.77
1990,21457.92
1989,17514.51
1988,17869.58
1987,16807.92
1986,13810.05
1985,9964.01
1984,9867.25
