Month,Index (2002-2004 = 100)
Nov 19,223
Oct 19,226
Sep 19,228
Aug 19,228
Jul 19,224
Jun 19,224
May 19,222
Apr 19,222
Mar 19,222
Feb 19,221
Jan 19,223
Dec 18,216
Nov 18,215
Oct 18,216
Sep 18,222
Aug 18,224
Jul 18,228
Jun 18,235
May 18,228
Apr 18,229
Mar 18,227
Feb 18,227
Jan 18,224
Dec 17,220
Nov 17,219
Oct 17,216
Aug 17,212
Sep 17,212
Jul 17,210
Jun 17,209
May 17,202
Jul 16,200
May 16,199
Apr 16,199
Jun 16,198
Apr 17,198
Feb 16,197
Mar 17,195
Jan 16,195
Mar 16,195
Aug 16,195
Feb 17,194
Jan 17,190
Sep 16,190
Dec 16,187
Oct 16,186
Nov 16,185
