Year,Kit sponsorship revenue in million euros
FC Bayern Munich (Telekom),35.0
FC Schalke 04 (Gazprom)*,24.0
VfL Wolfsburg (Volkswagen)**,20.0
Borussia Dortmund (Evonik),20.0
RB Leipzig (Red Bull)**,9.0
Borussia Mönchengladbach (Postbank)*,9.0
1. FC Köln (Rewe),7.5
Hertha BSC Berlin (Tedi),7.5
SV Werder Bremen (Wiesenhof),7.3
Eintracht Frankfurt (Indeed),6.7
Bayer 04 Leverkusen (Barmenia),6.0
1899 Hoffenheim (SAP),5.0
FSV Mainz 05 (Kömmerling),4.0
FC Augsburg (WWK)*,4.5
Fortuna Düsseldorf (Henkel),3.0
SC Freiburg (Schwarzwaldmilch),3.0
Union Berlin (Aroundtown),2.5
SC Paderborn (Sunmaker),2.0
