Year,GDP per capita in U.S. dollars
2024,3209.67
2023,2965.51
2022,2737.15
2021,2529.34
2020,2338.12
2019,2171.64
2018,2037.69
2017,2014.01
2016,1761.63
2015,1639.69
2014,1610.36
2013,1485.6
2012,1481.56
2011,1497.75
2010,1422.93
2009,1153.19
2008,1048.74
2007,1076.84
2006,837.46
2005,747.34
2004,656.52
2003,571.56
2002,491.99
2001,471.7
2000,462.98
1999,462.22
1998,432.23
1997,434.71
1996,418.63
1995,391.25
1994,362.37
1993,315.42
1992,332.5
1991,318.1
1990,385.38
1989,361.45
1988,368.34
1987,356.25
1986,324.25
1985,311.43
1984,288.56
