Month,Units sold
Dec 19,4701
Nov 19,3503
Oct 19,2942
Sep 19,11814
Aug 19,1872
Jul 19,2187
Jun 19,6094
May 19,3728
Apr 19,3261
Mar 19,13723
Feb 19,1942
Jan 19,3365
Dec 18,3540
Nov 18,4779
Oct 18,4072
Sep 18,10074
Aug 18,1871
Jul 18,3196
Jun 18,5606
May 18,4964
Apr 18,4462
Mar 18,14531
Feb 18,1326
Jan 18,3747
Dec 17,3194
Nov 17,4066
Oct 17,3204
Sep 17,12378
Aug 17,1852
Jul 17,3592
Jun 17,7316
May 17,4308
Apr 17,4074
Mar 17,19014
Feb 17,2092
Jan 17,4020
Dec 16,6058
Nov 16,6572
Oct 16,4360
Sep 16,17275
Aug 16,2485
Jul 16,3782
