States,Number of fatalities
"San Francisco, California (April 18, 1906)",2000
"Aleutian Islands, Alaska* (April 1, 1946)",165
"Prince William Sound, Alaska** (March 28, 1964)",131
"Long Beach, California (March 11, 1933)",116
"Mona Passage (October 11, 1918)",116
"San Fernando, California (February 9, 1971)",65
"Santa Cruz County, California (October 18, 1989)",62
"Chile, South America*** (May 22, 1960)",61
"Northridge, California (January 17, 1994)",60
"Hebgen Lake, Montana (August 18, 1959)",28
