Year,GDP per capita in U.S. dollars
2024*,5666.8
2023*,5346.1
2022*,5042.55
2021*,4755.7
2020*,4464.57
2019*,4163.76
2018,3870.56
2017,3884.72
2016,3605.72
2015,3367.69
2014,3533.61
2013,3684.0
2012,3744.53
2011,3688.53
2010,3178.13
2009,2464.96
2008,2418.04
2007,2064.23
2006,1764.79
2005,1403.88
2004,1280.7
2003,1186.85
2002,1002.91
2001,834.14
2000,870.15
1999,829.57
1998,572.09
1997,1308.11
1996,1394.5
1995,1254.02
1994,1115.61
1993,1013.06
1992,907.77
1991,847.57
1990,770.76
1989,696.87
1988,621.93
1987,562.9
1986,610.23
1985,658.22
1984,672.2
