Month,Market (transfer) value in million euros
Sander Berge (KRC Genk),22.0
Yari Verschaeren (RSC Anderlecht),15.0
Wesley Hoedt (Royal Antwerp FC),12.0
Mbwana Samatta (KRC Genk),12.0
Hans Vanaken (Club Brugge),11.5
Zinho Vanheusden (Standard Luik),10.0
Jonathan David (KAA Gent),9.0
Mbaye Diagne (Club Brugge),9.0
Joakim Maehle (KRC Genk),9.0
Giorgi Chakvetadze (KAA Gent),9.0
Simon Mognolet (Club Brugge),8.0
Jhon Lucumí (KRC Genk),8.0
Michel Vlap (RSC Anderlecht),8.0
Vincent Kompany (RSC Anderlecht),8.0
Nacer Chadli (RSC Anderlecht),8.0
Siebe Schrijvers (Club Brugge),7.5
Emmanuel Dennis (Club Brugge),7.5
Bryan Heynen (KRC Genk),7.0
Landry Dimata (RSC Anderlecht),7.0
Krépin Diatta (Club Brugge),7.0
Adrien Trebel (RSC Anderlecht),7.0
Dylan Bronn (KAA Gent),7.0
Marvelous Nakamba (Club Brugge),6.5
Patrik Hrosovsky (KRC Genk),6.5
