Response,Share of respondents
Toothpaste,97.8%
Deodorant or antiperspirant,81.1%
Facial soap or wash,69.5%
Body soap or wash,69.1%
Lip balm,65.9%
Facial moisturizer,59.4%
Hand or body moisturizer,54%
Shampoo,43%
Mascara,38.9%
Hair conditioner,36.5%
Mouthwash,34.3%
"Perfume, cologne, body spray",33.9%
Foundation,30.6%
Eyeliner,28.3%
Lipstick or lip gloss,28%
Hair styling products,27.8%
Acne products,26.7%
Blush,25.5%
Other makeup,22.9%
Eye shadow,22.5%
Facial toner,20.8%
Facial mask or scrub,10.5%
Sunscreen or body,8.3%
Shaving cream or gel,4.6%
