Month,Transfer fee paid in million euros
Ousmane Dembélé (17/18 - FC Barcelona),120.0
Lucas Hernández  (19/20 - FC Bayern München),80.0
Kevin De Bruyne (15/16 - Manchester City),76.0
Christian Pulisic (18/19 - Chelsea FC),64.0
Pierre-Emerick Aubameyang (17/18 - FC Arsenal),63.75
Luka Jovic (19/20 - Real Madrid),60.0
Naby Keïta (18/19 - Liverpool FC),60.0
Leroy Sané (16/17 - Manchester City),50.5
Granit Xhaka (16/17 - Arsenal FC),45.0
Joelinton (19/20 - Newcastle United),44.0
Julian Draxler (15/16 - VfL Wolfsburg),43.0
Henrikh Mkhitaryan (16/17 - Manchester United),42.0
Corentin Tolisso (17/18 - FC Bayern München),41.5
Roberto Firmino (15/16 - Liverpool FC),41.0
Sébastien Haller  (19/20 - West Ham United),40.0
Douglas Costa (18/19 - Juventus Turin),40.0
Javi Martinez (12/13 - FC Bayern München),40.0
Arturo Vidal (15/16 - FC Bayern München),37.5
Thilo Kehrer (18/19 - Paris St. Germain),37.0
Mario Götze (13/14 - FC Bayern München),37.0
Edin Dzeko (10/11 - Manchester City),37.0
Julian Draxler (16/17 - Paris Saint Germain),36.0
Benjamin Pavard (19/20 - FC Bayern München),35.0
Mats Hummels (16/17 - FC Bayern München),35.0
Renato Sanches (16/17 - FC Bayern München),35.0
