Month,Exchange rate
Feb '20,1.1
Jan '20,1.11
Dec '19,1.12
Nov '19,1.1
Oct '19,1.12
Sep '19,1.08
Aug '19,1.1
Jul '19,1.12
Jun '19,1.14
May '19,1.12
Apr '19,1.12
Mar '19,1.12
Feb '19,1.14
Jan '19,1.15
Dec '18,1.15
Nov '18,1.14
Oct '18,1.13
Sep '18,1.16
Aug '18,1.17
Jul '18,1.17
Jun '18,1.17
May '18,1.17
Apr '18,1.21
Mar '18,1.23
Feb '18,1.22
Jan '18,1.25
Dec '17,1.2
Nov '17,1.18
Oct '17,1.16
Sep '17,1.18
Aug '17,1.18
Jul '17,1.17
Jun '17,1.14
May '17,1.12
Apr '17,1.09
Mar '17,1.07
Feb '17,1.06
Jan '17,1.08
Dec '16,1.05
Nov '16,1.08
Oct '16,1.1
Sep '16,1.12
Aug '16,1.11
Jul '16,1.11
Jun '16,1.11
May '16,1.12
Apr '16,1.14
Mar '16,1.14
Feb '16,1.09
Jan '16,1.09
Dec '15,1.09
Nov '15,1.06
Oct '15,1.1
Sep '15,1.12
Aug '15,1.12
Jul '15,1.1
Jun '15,1.12
May '15,1.1
Apr '15,1.12
Mar '15,1.08
Feb '15,1.12
Jan '15,1.13
