Month,Units sold
Dec 19,1740
Nov 19,1899
Oct 19,1618
Sep 19,1792
Aug 19,646
Jul 19,777
Jun 19,1054
May 19,1599
Apr 19,1717
Mar 19,1630
Feb 19,204
Jan 19,581
Dec 18,1211
Nov 18,264
Oct 18,329
Sep 18,654
Aug 18,347
Jul 18,758
Jun 18,1163
May 18,1991
Apr 18,1646
Mar 18,2659
Feb 18,421
Jan 18,994
Dec 17,1036
Nov 17,1151
Oct 17,931
Sep 17,2034
Aug 17,294
Jul 17,1048
Jun 17,1302
May 17,1278
Apr 17,1240
Mar 17,2848
Feb 17,202
Jan 17,687
Dec 16,1264
Nov 16,1105
Oct 16,929
Sep 16,2152
Aug 16,299
Jul 16,636
