Fiscal quarters,Revenue in billion U.S. dollars
Q2 '20,36.91
Q1 '20,33.06
Q4 '19,33.72
Q3 '19,30.57
Q2 '19,32.47
Q1 '19,29.08
Q4 '18,30.08
Q3 '18,26.82
Q2 '18,28.92
Q1 '18,24.54
Q4 '17,23.3
Q3 '17,22.1
Q2 '17,24.1
Q1 '17,21.93
Q4 '16,20.61
Q3 '16,20.53
Q2 '16,23.8
Q1 '16,20.38
Q4 '15,22.18
Q3 '15,21.73
Q2 '15,26.47
Q1 '15,23.2
Q4 '14,23.38
Q3 '14,20.4
Q2 '14,24.52
Q1 '14,18.53
Q4 '13,19.9
Q3 '13,20.49
Q2 '13,21.46
Q1 '13,16.01
Q4 '12,18.06
Q3 '12,17.41
Q2 '12,20.89
Q1 '12,17.37
Q4 '11,17.37
Q3 '11,16.43
Q2 '11,19.95
Q1 '11,16.2
Q4 '10,16.04
Q3 '10,14.5
Q2 '10,19.02
Q1 '10,12.92
Q4 '09,13.1
Q3 '09,13.65
Q2 '09,16.63
Q1 '09,15.06
Q4 '08,15.84
Q3 '08,14.45
Q2 '08,16.37
Q1 '08,13.76
