Month,Market share
Dec 19,9.47%
Nov 19,7.43%
Oct 19,8.44%
Sep 19,8.11%
Aug 19,5.24%
Jul 19,5.85%
Jun 19,8.94%
May 19,6.76%
Apr 19,6.75%
Mar 19,6.62%
Feb 19,8.38%
Jan 19,5.93%
Dec 18,8.05%
Nov 18,8.08%
Oct 18,7.37%
Sep 18,8.25%
Aug 18,6.37%
Jul 18,6.09%
Jun 18,9.78%
May 18,6.72%
Apr 18,5.41%
Mar 18,6.68%
Feb 18,8.35%
Jan 18,5.5%
Dec 17,8.84%
Nov 17,7.82%
Oct 17,6.99%
Sep 17,7.38%
Aug 17,6.03%
Jul 17,5.61%
Jun 17,7.87%
May 17,6.83%
Apr 17,7.42%
Mar 17,6.2%
Feb 17,7.36%
Jan 17,4.86%
Dec 16,8.46%
Nov 16,8.33%
Oct 16,7.52%
Sep 16,6.94%
Aug 16,5.82%
Jul 16,5.43%
Jun 16,7.32%
May 16,7.58%
Apr 16,5.79%
Mar 16,6.26%
Feb 16,6.91%
Jan 16,4.87%
Dec 15,9.54%
Nov 15,6.69%
Oct 15,7.85%
Sep 15,6.42%
Aug 15,6.13%
Jul 15,5.26%
Jun 15,6.69%
May 15,6.14%
Apr 15,5.86%
Mar 15,5.46%
Feb 15,6.62%
Jan 15,4.86%
Dec 14,7.49%
Nov 14,7.17%
Oct 14,5.87%
Sep 14,5.84%
Aug 14,4.92%
Jul 14,5.76%
