Year,Gross domestic product in billion U.S. dollars
2024*,232.1
2023*,219.57
2022*,209.76
2021*,200.74
2020*,195.23
2019*,191.85
2018,191.36
2017,166.93
2016,151.73
2015,161.74
2014,206.23
2013,198.73
2012,186.83
2011,167.78
2010,125.12
2009,97.8
2008,115.27
2007,79.71
2006,60.88
2005,44.53
2004,31.73
2003,23.53
2002,19.36
2001,17.54
2000,17.76
1999,12.39
1998,10.26
1997,11.3
1996,9.06
1995,8.14
1994,7.37
1993,7.16
1992,7.65
1991,6.88
1990,7.36
1989,5.29
1988,5.0
1987,5.22
1986,4.95
1985,6.27
1984,6.7
