Amusement Parks,Attendance change
"Chimelong Paradise, China",11.9%
"Chimelong Ocean Kingdom, China",10.6%
"Disney's Animal Kingdom, USA",10%
"Tokyo Disney Sea, Japan",8.5%
"Hong Kong Disneyland, Hong Kong S.A.R.",8.1%
"Tokyo Disneyland, Japan",7.9%
"Shanghai Disneyland, China",7.3%
"Universal Studios Orlando, USA",5%
"Disney's Hollywood Studios, USA",5%
"Tivoli Gardens, Denmark",4.5%
"De Efteling, the Netherlands",4.2%
"Disney's California Adventure, USA",3%
"Islands of Adventure, USA",2.5%
"Magic Kingdom (Walt Disney World), USA",2%
"Disneyland Anaheim, USA",2%
"Epcot (Walt Disney World), USA",2%
"Disneyland Park, France",1.9%
"Walt Disney Studios, France",1.9%
"Universal Studios Hollywood, USA",1%
"Europa Park, Germany",0.4%
"Ocean Park, Hong Kong S.A.R.",0%
"Nagashima Spa Land, Japan",-0.2%
"Universal Studios, Japan",-4.3%
"Everland, South Korea",-7.3%
"Lotte World, South Korea",-11.2%
