Year,Gross domestic product in billion U.S. dollars
2024*,1988.11
2023*,1884.06
2022*,1789.96
2021*,1702.14
2020*,1626.55
2019*,1629.53
2018,1720.49
2017,1623.9
2016,1500.48
2015,1465.77
2014,1484.32
2013,1305.61
2012,1222.81
2011,1202.46
2010,1094.5
2009,901.94
2008,1002.22
2007,1122.68
2006,1011.8
2005,898.14
2004,764.88
2003,680.52
2002,609.02
2001,533.05
2000,561.63
1999,485.25
1998,374.24
1997,557.5
1996,598.1
1995,556.13
1994,455.61
1993,386.3
1992,350.05
1991,325.73
1990,279.35
1989,243.53
1988,196.97
1987,146.13
1986,115.54
1985,100.27
1984,96.6
