Year,Inflation rate compared to previous year
2024*,1.28%
2023*,1.26%
2022*,1.2%
2021*,0.66%
2020*,1.3%
2019*,0.99%
2018,0.98%
2017,0.47%
2016,-0.11%
2015,0.79%
2014,2.76%
2013,0.34%
2012,-0.06%
2011,-0.27%
2010,-0.72%
2009,-1.35%
2008,1.38%
2007,0.06%
2006,0.25%
2005,-0.28%
2004,-0.01%
2003,-0.26%
2002,-0.92%
2001,-0.74%
2000,-0.68%
1999,-0.34%
1998,0.67%
1997,1.75%
1996,0.14%
1995,-0.13%
1994,0.7%
1993,1.24%
1992,1.76%
1991,3.25%
1990,3.08%
1989,2.27%
1988,0.68%
1987,0.13%
1986,0.6%
1985,2.03%
1984,2.26%
