State,"Robbery rate per 100,000 inhabitants"
District of Columbia,343.8
Maryland,160.8
California,137.3
New Mexico,135.1
Nevada,127.3
Alaska,121.5
Illinois,111.5
Tennessee,106.2
Texas,98.4
Louisiana,98.0
New York,93.1
Arizona,91.0
Delaware,89.5
Indiana,88.7
United States,86.2
Missouri,84.8
Alabama,83.4
North Carolina,81.1
Florida,79.3
Georgia,78.7
Ohio,78.6
Pennsylvania,76.9
Washington,73.9
New Jersey,71.4
Oklahoma,70.8
South Carolina,69.9
Colorado,66.7
Hawaii,66.6
Connecticut,61.4
Oregon,60.8
Massachusetts,60.0
Wisconsin,60.0
Michigan,56.6
Kentucky,55.0
Mississippi,53.4
Kansas,53.0
Arkansas,52.9
Minnesota,52.5
Rhode Island,42.9
Virginia,42.3
Nebraska,39.2
Utah,39.1
West Virginia,31.7
South Dakota,29.7
Iowa,29.5
New Hampshire,26.5
Montana,25.3
North Dakota,20.8
Wyoming,17.3
Maine,17.0
Idaho,11.4
Vermont,11.2
