Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",546.38
Professional and business services,372.3
Manufacturing,311.86
Information,306.62
Government and government enterprises,293.67
"Educational services, health care, and social assistance",197.62
Retail trade,148.8
Wholesale trade,147.24
"Arts, entertainment, recreation, accommodation, and food services",108.4
Construction,86.68
Transportation and warehousing,68.49
"Agriculture, forestry, fishing, and hunting",49.27
Utilities,30.41
"Mining, quarrying, and oil and gas extraction",16.27
