Year,GDP per capita in U.S. dollars
2024*,27920.05
2023*,26788.05
2022*,25744.8
2021*,24727.89
2020*,23731.13
2019*,23030.79
2018,23437.39
2017,21482.86
2016,19986.36
2015,19252.01
2014,22109.32
2013,21625.48
2012,20588.87
2011,23217.34
2010,22580.68
2009,23122.56
2008,24933.17
2007,22811.57
2006,19837.97
2005,18815.44
2004,18064.47
2003,15799.89
2002,12922.15
2001,11737.17
2000,11533.83
1999,12490.93
1998,12220.18
1997,11597.7
1996,12187.56
1995,11788.47
1994,9978.59
1993,9548.58
1992,10864.55
1991,9027.18
1990,7958.02
1989,5978.16
1988,5533.16
1987,4724.91
1986,3774.95
1985,2716.91
1984,2596.33
