State,Average size of household
Utah,3.12
Hawaii,3.02
California,2.96
Texas,2.87
Alaska,2.79
Georgia,2.7
Idaho,2.69
New Jersey,2.69
Arizona,2.68
Florida,2.67
Maryland,2.66
Nevada,2.65
Virginia,2.61
Mississippi,2.61
Louisiana,2.61
Oklahoma,2.58
New Mexico,2.58
Alabama,2.57
New York,2.57
South Carolina,2.57
Illinois,2.56
Delaware,2.56
Colorado,2.56
Washington,2.55
Massachusetts,2.54
Tennessee,2.54
Arkansas,2.53
North Carolina,2.52
Connecticut,2.51
Rhode Island,2.5
Minnesota,2.5
Kentucky,2.5
Oregon,2.5
Indiana,2.5
Kansas,2.5
New Hampshire,2.47
Michigan,2.47
South Dakota,2.46
Nebraska,2.45
Wyoming,2.45
Pennsylvania,2.44
Missouri,2.44
Ohio,2.43
Iowa,2.41
Montana,2.4
West Virginia,2.39
Wisconsin,2.39
District of Columbia,2.31
North Dakota,2.3
Vermont,2.3
Maine,2.28
