Month,Units sold
Dec 19,14687
Nov 19,15311
Oct 19,13733
Sep 19,19632
Aug 19,11334
Jul 19,15183
Jun 19,20474
May 19,15737
Apr 19,15161
Mar 19,38335
Feb 19,7960
Jan 19,13224
Dec 18,16010
Nov 18,15772
Oct 18,13666
Sep 18,16282
Aug 18,11255
Jul 18,16761
Jun 18,23224
May 18,18097
Apr 18,14607
Mar 18,37843
Feb 18,7036
Jan 18,12579
Dec 17,15345
Nov 17,13985
Oct 17,13756
Sep 17,36332
Aug 17,6923
Jul 17,14094
Jun 17,22639
May 17,15656
Apr 17,9954
Mar 17,39485
Feb 17,7326
Jan 17,12967
Dec 16,15634
Nov 16,14023
Oct 16,14023
Sep 16,33722
Aug 16,5694
Jul 16,14038
