Month,Market share
Dec 19,10.09%
Nov 19,10.37%
Oct 19,11.69%
Sep 19,9.47%
Aug 19,11.63%
Jul 19,10.85%
Jun 19,9.87%
May 19,10.83%
Apr 19,11.22%
Mar 19,8.9%
Feb 19,12.68%
Jan 19,10.33%
Dec 18,11.45%
Nov 18,9.24%
Oct 18,10.95%
Sep 18,9.84%
Aug 18,11.91%
Jul 18,9.78%
Jun 18,9.51%
May 18,10.97%
Apr 18,11.98%
Mar 18,10.6%
Feb 18,14.91%
Jan 18,12.01%
Dec 17,10.19%
Nov 17,11.06%
Oct 17,12.38%
Sep 17,9.31%
Aug 17,12.08%
Jul 17,10.45%
Jun 17,11.13%
May 17,11.01%
Apr 17,10.64%
Mar 17,12.77%
Feb 17,11.92%
Jan 17,13.05%
Dec 16,11.65%
Nov 16,11.92%
Oct 16,11.88%
Sep 16,10.45%
Aug 16,14.33%
Jul 16,12.46%
