University,Reputation score
Harvard University (US),100.0
Massachusetts Institute of Technology (US),85.4
Stanford University (US),77.3
University of Cambridge (UK),72.3
University of Oxford (UK),71.3
"University of California, Berkeley (US)",57.0
Princeton University (US),37.5
Yale University (US),36.7
"University of California, Los Angeles (US)",28.1
University of Chicago (US),26.6
University of Tokyo (Japan),25.6
California Institute of Technology (US),25.2
Columbia University (US),25.1
Tsinghua University (China),20.1
University of Michigan-Ann Arbor (US),20.0
Johns Hopkins University (US),17.5
Peking University (China),17.3
UCL (UK),17.3
University of Toronto (Canada),17.0
ETH Zurich (Switzerland),16.8
