Month,Market share
Dec 19,3.56%
Nov 19,3.73%
Oct 19,4.34%
Sep 19,4%
Aug 19,2.51%
Jul 19,3.94%
Jun 19,4.14%
May 19,4.22%
Apr 19,3.94%
Mar 19,4.36%
Feb 19,3.01%
Jan 19,4.33%
Dec 18,3.67%
Nov 18,3.6%
Oct 18,4.19%
Sep 18,4.97%
Aug 18,2.64%
Jul 18,3.85%
Jun 18,3.68%
May 18,4.52%
Apr 18,4.44%
Mar 18,5.18%
Feb 18,2.87%
Jan 18,4.84%
Dec 17,5.09%
Nov 17,4.78%
Oct 17,5.17%
Sep 17,6.76%
Aug 17,4.85%
Jul 17,6.04%
Jun 17,5.37%
May 17,5.71%
Apr 17,5.29%
Mar 17,6.57%
Feb 17,6.06%
Jan 17,6.52%
Dec 16,5.97%
Nov 16,5.58%
Oct 16,6.55%
Sep 16,5.92%
Aug 16,4.29%
Jul 16,5.57%
