Month,Units sold
Dec '19,1383
Nov '19,1820
Oct '19,2143
Sep '19,2887
Aug '19,1872
Jul '19,2244
Jun '19,2207
May '19,2343
Apr '19,2205
Mar '19,2811
Feb '19,1457
Jan '19,1714
Dec '18,1471
Nov '18,2105
Oct '18,2110
Sep '18,2958
Aug '18,2126
Jul '18,2238
Jun '18,2500
May '18,2090
Apr '18,1961
Mar '18,2715
Feb '18,1262
Jan '18,1408
Dec '17,1976
Nov '17,1807
Oct '17,2143
Sep '17,2947
Aug '17,1820
Jul '17,2438
Jun '17,2512
May '17,2423
Apr '17,2035
Mar '17,2644
Feb '17,1415
Jan '17,1500
Dec '16,3321
Nov '16,2579
Oct '16,3028
Sep '16,4416
Aug '16,2687
Jul '16,3083
Jun ´16,3550
May '16,2940
Apr '16,2917
Mar '16,3656
Feb '16,1880
Jan '16,2015
