Year,GDP per capita in U.S. dollars
2024*,12007.79
2023*,11563.56
2022*,11150.18
2021*,10767.5
2020*,10405.79
2019*,10118.17
2018,9796.98
2017,9366.66
2016,8815.54
2015,9673.64
2014,10980.99
2013,10764.33
2012,10261.05
2011,10204.51
2010,9258.2
2009,7975.42
2008,9973.02
2007,9588.51
2006,8997.27
2005,8189.16
2004,7383.02
2003,6964.63
2002,7465.92
2001,7409.68
2000,7016.24
1999,6019.94
1998,5346.19
1997,5148.07
1996,4286.48
1995,3810.93
1994,5672.01
1993,5467.16
1992,4479.32
1991,3927.96
1990,3335.46
1989,2940.09
1988,2459.99
1987,2050.33
1986,1906.82
1985,2810.06
1984,2703.33
