Instagram Post,Number of likes in millions
@world_record_egg: Photo of an egg (Jan '19),53.9
@kyliejenner: First photo of her daughter (Feb '18),18.7
@xxxtentacion: Final image before his death (May '18),17.5
@tentree: Plant trees on Earth Week (Apr '19),15.7
@jenniferaniston: Photo with Friends co-stars (Oct '18),15.3
@therock: Photo of his wedding (Aug '19),14.7
@selenagomez: Photos with friends (Feb '19),14.5
"@selenagomez: Photo of herself in Florence, Italy (Jul '19)",14.5
@kyliejenner: Photo with family (Apr '19),13.7
@justinbieber: Engagement to Hailey Baldwin (Jul '18),13.4
