Year,Inflation rate compared to previous year
2024*,2%
2023*,2%
2022*,1.94%
2021*,1.83%
2020*,1.28%
2019*,1.05%
2018,0.81%
2017,0.24%
2016,-0.55%
2015,-0.63%
2014,0.48%
2013,1.51%
2012,1.72%
2011,3.43%
2010,2.71%
2009,3.31%
2008,4.59%
2007,0.53%
2006,2.1%
2005,1.35%
2004,-0.4%
2003,0.65%
2002,5.69%
2001,1.12%
2000,1.13%
1999,5.19%
1998,5.44%
1997,9%
1996,11.28%
1995,10.04%
1994,12.34%
1993,10.94%
1992,11.95%
1991,19.01%
1990,17.17%
1989,20.25%
1988,16.23%
1987,19.85%
1986,48.16%
1985,304.58%
1984,373.82%
