Month,Net worth in billion U.S. dollars
"Jeff Bezos, Amazon",131.0
"Mark Zuckerberg, Facebook",62.3
"Larry Page, Google",50.8
"Sergey Brin, Google",49.8
"Ma Huateng, Tencent",38.8
"Jack Ma, Alibaba",37.3
"William Ding, Netease",14.7
"Colin Huang, Pinduoduo",13.5
"Zhang Zhidong, Tencent",13.3
"Eric Schmidt, Google",12.9
"Pierre Omidyar, eBay",11.4
"Dustin Moskovitz, Facebook",11.1
"Eduardo Saverin, Facebook",9.7
"Jan Koum, WhatsApp",9.6
"Robin Li, Baidu",9.6
"Joseph Tsai, Alibaba",9.5
"Kim Jung-Ju, Nexon",6.5
"Richard Liu, JD.com",6.0
"Andreas von Bechtolsheim, Google",6.4
"David Cheriton, Google",5.8
