Quarter,Revenue in billion U.S. dollars
Q4 '18,31.37
Q3 '18,26.5
Q2 '18,25.63
Q1 '18,23.9
Q4 '17,26.18
Q3 '17,21.83
Q2 '17,20.85
Q1 '17,19.4
Q4 '16,21.65
Q3 '16,18.2
Q2 '16,16.92
Q1 '16,15.87
Q4 '15,17.38
Q3 '15,14.69
Q2 '15,14.3
Q1 '15,13.18
Q4 '14,14.15
Q3 '14,12.21
Q2 '14,11.68
Q1 '14,11.41
Q4 '13,12.11
Q3 '13,10.61
Q2 '13,10.26
Q1 '13,9.81
Q4 '12,10.31
Q3 '12,9.24
Q2 '12,8.72
Q1 '12,8.31
Q4 '11,8.97
Q3 '11,7.82
Q2 '11,7.68
Q1 '11,7.26
Q4 '10,7.45
Q3 '10,6.47
Q2 '10,6.19
Q1 '10,5.94
Q4 '09,6.26
Q3 '09,5.5
Q2 '09,5.43
Q1 '09,5.47
Q4 '08,6.1
Q3 '08,5.84
Q2 '08,5.75
Q1 '08,5.77
Q4 '07,5.95
Q3 '07,5.27
Q2 '07,5.09
Q1 '07,4.9
