Month,Revenue in million U.S. dollars
July-Sep '19,447.0
Apr-Jun '19,441.0
Jan-Mar '19**,251.0
Jul-Sept '18,417.63
Apr-Jun '18,384.8
Jan-Mar '18,316.0
Oct-Dec '17,395.34
Jul-Sept '17,378.64
Apr-Jun '17,376.83
Jan-Mar '17,319.23
Oct-Dec '16,392.6
Jul-Sept '16,351.9
Apr-Jun '16,343.02
Jan-Mar '16,297.31
Oct-Dec '15,336.16
Jul-Sept '15,311.56
Apr-Jun '15,285.56
Jan-Mar '15,230.8
Oct-Dec '14,268.0
Jul-Sept '14,239.59
Apr-Jun '14,218.89
Jan-Mar '14,194.32
Nov-Dec '13*,136.99
Aug-Oct '13,180.38
May-Jul '13,157.36
Feb-Apr '13,125.51
Nov '12-Jan '13,125.09
Aug-Oct '12,120.01
May-Jul '12,101.27
Feb-Apr '12,80.78
Nov '11-Jan '12,81.33
Aug-Oct '11,75.01
May-Jul '11,66.97
Feb-Apr '11,51.04
