Year,GDP per capita in U.S. dollars
2024*,31483.8
2023*,29870.22
2022*,28324.43
2021*,26861.07
2020*,25525.81
2019*,24827.9
2018,25007.75
2017,24389.68
2016,22572.7
2015,22373.56
2014,22638.92
2013,21887.99
2012,21269.61
2011,20911.64
2010,19261.67
2009,16959.78
2008,18102.95
2007,17780.93
2006,16984.54
2005,16503.31
2004,15360.72
2003,14094.37
2002,13715.53
2001,13408.38
2000,14876.88
1999,13768.27
1998,12787.26
1997,13968.1
1996,13597.25
1995,13706.01
1994,12108.75
1993,11200.81
1992,10725.7
1991,9092.11
1990,8178.15
1989,7577.05
1988,6337.5
1987,5325.22
1986,4010.11
1985,3295.11
1984,3203.47
