Organizations,Total funds donated to charity in U.S. dollars
(1) Sigma Chi,1436883
(7) Alpha Gamma Rho,1397891
(3) Phi Gamma Delta,424525
(4) Theta Chi,278962
(2) Sigma Alpha Epsilon,242225
(8) Sigma Phi Epsilon,219538
(6) Alpha Epsilon Pi,178067
(23) Phi Kappa Sigma,157843
(5) Sigma Nu,143921
(19) Sigma Alpha Mu,123950
(9) Kappa Alpha Order,118115
(18) Alpha Tau Omega,114711
(13) Phi Kappa Tau,102609
(11) Delta Tau Delta,90457
(17) Pi Kappa Phi,73765
(15) Pi Kappa Delta,58406
(14) Lambda Chi Alpha,50238
(25) Delta Upsilon,35022
(22) Delta Chi,23603
