Industry,GDP in million chained 2012 Canadian dollars
Real estate and rental and leasing,254294
Manufacturing,199234
"Mining, quarrying, and oil and gas extraction",145909
Construction,142530
Health care and social assistance,142028
Public administration,134370
Finance and insurance,133599
"Professional, scientific and technical services",120820
Educational services,104771
Wholesale trade,103082
Retail trade,102619
Transportation and warehousing,89599
Information and cultural industries,64323
"Administrative and support, waste management and remediation services",52649
Accommodation and food services,45160
Utilities,43668
"Agriculture, forestry, fishing and hunting",40058
Other services (except public administration),38127
"Arts, entertainment and recreation",15699
Management of companies and enterprises,9303
