Activity,Share of internet users
Using email,90.8%
Using text messaging or instant messaging,90.2%
Using online social networks,74.4%
Watching video online,69.5%
"Shopping, making reservations, or using other consumer services online",68.5%
"Using online financial services (banking, investing, paying bills etc.)",65.9%
"Streaming or downloading music, radio, podcasts etc.",52.6%
Participating in online video calls or conferences,46.6%
Working remotely via internet,22.6%
Searching for a job online,20.8%
Taking classes or participating in job training online,19.1%
Interacting with household equipment via internet,11%
