Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",98.03
Professional and business services,68.01
Government and government enterprises,59.52
Manufacturing,56.8
Information,51.54
Wholesale trade,41.91
"Educational services, health care, and social assistance",41.09
Retail trade,31.01
Transportation and warehousing,21.81
Construction,19.31
"Arts, entertainment, recreation, accommodation, and food services",16.19
Utilities,9.56
"Agriculture, forestry, fishing, and hunting",5.32
"Mining, quarrying, and oil and gas extraction",1.48
