Industry,GDP in million chained 2012 Canadian dollars
Real estate and rental and leasing,93385.7
Manufacturing,89275.7
Finance and insurance,68510.6
Public administration,50921.5
Construction,50726.8
Wholesale trade,49840.5
"Professional, scientific and technical services",49465.8
Health care and social assistance,49430.8
Educational services,42335.1
Retail trade,36347.7
Transportation and warehousing,29691.7
Information and cultural industries,26526.9
"Administrative and support, waste management and remediation services",23613.4
Accommodation and food services,15662.2
Utilities,13672.4
Other services (except public administration),13568.3
"Agriculture, forestry, fishing and hunting",8148.4
"Mining, quarrying, and oil and gas extraction",6593.9
"Arts, entertainment and recreation",6384.9
Management of companies and enterprises,4330.3
