Industries,Share of responding businesses
"Media, communication or information (e.g., broadcasting, telecoms, computer programming)",18%
Retail or wholesale (incl. online shops),16%
Other,15%
"Professional services (e.g., financial services, consulting, travel agents, business services)",11%
"Personal services (e.g. beauty and wellness, repair of household goods)",7%
"Accommodation (e.g., hotels, camping grounds)",6%
Manufacturing,6%
"Arts, entertainment or recreation (e.g., museum, creative arts, sports club)",6%
Restaurant/café or other food services,5%
"Healthcare (e.g., dentist, senior care)",3%
"Education (e.g., schools, tutoring, driving school)",2%
"Real estate (e.g., brokerage, leasing, management)",1%
Non-profit/charity organization,1%
Construction or home repair,1%
Automotive repair or services,1%
"Transportation or storage (e.g., taxi, warehousing)",0%
